X1	X2	X3	X4	X5
23.93742	32.54228	0.7503695	0.8234348	1.160645
24.08319	35.34119	0.8314633	0.8942561	1.354641
23.38803	33.68976	0.8164181	0.8044027	1.274952
25.55386	37.3497	0.9117383	0.8044027	1.23594
24.20744	33.37664	0.7903982	0.8505827	1.231136
23.10844	33.80828	0.8064043	0.8556289	1.231136
22.86919	36.3318	0.7903982	0.8983566	1.282202
21.16601	32.06244	0.8074053	0.8194244	1.280374
25.5147	36.82391	0.8124113	0.8304591	1.227965
20.42058	41.07311	0.6898171	0.6999833	1.432516
22.97825	32.51154	0.7091024	0.8515913	1.264361
20.90454	39.88734	0.7312926	0.7080905	1.481234
21.07131	40.34848	0.7141574	0.6959214	1.443965
22.11334	35.08561	0.8475582	0.7403372	1.137876
20.3224	40.90232	0.7030261	0.7151675	1.421923
24.61707	35.67913	0.779398	0.8064043	1.28404
23.15167	34.38023	0.8779254	0.749367	1.178729
26.1725	39.54744	0.9179452	0.8495742	1.273164
25.7682	39.84972	0.7913983	0.7663936	1.197495
26.51415	36.53765	0.8044027	0.7693954	1.122324
