"A"	"B"	"C"	"D"	"sex"	"age"	"edu"
"1"	"2"	"3"	"4"	"3"	"2"	"2"	"3"
"2"	"3"	"4"	"2"	"3"	"1"	"3"	"4"
"3"	"2"	"3"	"2"	"4"	"2"	"3"	"2"
"4"	"2"	"2"	"2"	"2"	"1"	"2"	"3"
"5"	"3"	"3"	"3"	"3"	"1"	"5"	"2"
"6"	"3"	"4"	"4"	"5"	"1"	"3"	"2"
"7"	"3"	"4"	"2"	"4"	"2"	"5"	"2"
"8"	"3"	"4"	"4"	"2"	"1"	"3"	"3"
"9"	"3"	"2"	"2"	"1"	"1"	"3"	"2"
"10"	"3"	"3"	"2"	"2"	"1"	"3"	"2"
"11"	"4"	"5"	"3"	"4"	"2"	"2"	"6"
"12"	"4"	"4"	"1"	"4"	"2"	"2"	"3"
"13"	"3"	"4"	"3"	"2"	"1"	"5"	"2"
"14"	"4"	"5"	"2"	"2"	"1"	"4"	"2"
"15"	"3"	"4"	"3"	"4"	"1"	"3"	"6"
"16"	"2"	"5"	"2"	"4"	"2"	"2"	"5"
"17"	"2"	"5"	"2"	"1"	"2"	"3"	"2"
"18"	"2"	"2"	"2"	"3"	"2"	"2"	"3"
"19"	"2"	"5"	"3"	"1"	"2"	"2"	"3"
"20"	"3"	"4"	"1"	"4"	"1"	"2"	"3"
"21"	"2"	"2"	"1"	"2"	"2"	"5"	"3"
"22"	"5"	"4"	"4"	"3"	"2"	"5"	"4"
"23"	"4"	"2"	"2"	"4"	"2"	"5"	"2"
"24"	"1"	"5"	"5"	"2"	"2"	"2"	"2"
"25"	"1"	"2"	"3"	"3"	"2"	"2"	"2"
"26"	"3"	"4"	"4"	"5"	"2"	"3"	"6"
"27"	"5"	"4"	"3"	"4"	"2"	"1"	"1"
"28"	"5"	"5"	"3"	"3"	"2"	"2"	"5"
"29"	"4"	"4"	"5"	"4"	"2"	"1"	"5"
"30"	"2"	"4"	"1"	"4"	"2"	"3"	"2"
"31"	"5"	"3"	"3"	"3"	"2"	"2"	"3"
"32"	"4"	"3"	"3"	"2"	"1"	"2"	"6"
"33"	"1"	"3"	"3"	"4"	"1"	"6"	"2"
"34"	"4"	"4"	"4"	"2"	"1"	"5"	"2"
