NAME	Points	R100m	Long_jump	Shot_put	High_jump	R400m	Hurdles	Discus_throw	Pole_vault	Javelin	R1500m	Height	Weight
Skowrone	8206	853	931	725	857	838	903	772	981	818	528	184	81
Hedmark	8188	853	853	814	769	833	914	855	884	975	438	195	90
Le_Roy	8140	879	951	799	779	838	881	819	1028	758	408	191	90
Zeilbaue	8136	826	931	793	865	875	891	729	909	774	543	192	84
Zigert	8134	879	840	924	857	788	892	866	920	671	497	198	105
Bennett	8121	905	859	647	779	938	859	651	1028	794	661	173	68
Blinjaje	8100	879	848	785	804	766	807	897	909	820	585	190	90
Katus	8020	853	828	772	751	838	987	748	960	755	528	184	81
Berendse	8016	804	848	795	831	819	837	801	884	755	642	189	89
Gorbacho	7977	853	830	815	822	784	817	762	859	848	587	186	87
Kiseljev	7949	879	869	792	891	784	938	731	807	762	496	191	91
Gough	7938	756	945	798	831	762	892	874	807	794	479	190	93
Sherbati	7927	853	887	643	840	838	892	607	932	781	654	183	82
Ghesquir	7905	756	820	773	813	847	827	808	807	807	647	190	87
Avilov	7903	712	863	734	925	788	883	758	909	772	559	190	87
Kratky	7876	828	909	730	796	838	903	722	859	695	596	185	85
Schreyer	7865	853	875	782	804	766	881	795	884	767	458	184	84
Linkmann	7849	905	861	763	788	792	962	794	909	665	410	195	100
Thiemig	7848	905	774	751	804	889	870	787	884	679	505	194	94
Pernica	7844	804	802	675	822	819	870	695	957	721	679	188	83
Stroot	7842	932	881	644	769	898	859	710	832	731	586	182	78
Bugay	7840	780	794	702	900	852	870	725	859	703	655	190	83
Evans	7819	756	780	772	925	792	777	784	874	828	531	188	95
Tselnoko	7812	853	832	759	725	842	777	746	832	889	557	191	94
Ivanov	7812	780	791	711	891	784	881	715	909	842	508	186	86
Janczenk	7806	864	889	760	891	819	726	773	909	797	378	182	81
Demmig	7804	905	828	765	707	889	938	738	832	701	499	188	86
Schulze	7799	905	816	769	707	829	881	752	909	731	500	184	82
Andres	7794	828	828	612	788	880	837	671	957	736	657	180	68
George	7777	780	867	654	769	866	851	626	932	736	696	184	82
Jenner	7771	804	816	726	857	797	848	774	837	765	547	188	84
Swoboda	7769	853	842	701	769	797	797	709	859	834	608	182	75
Apt	7750	828	808	768	743	801	837	749	981	675	560	190	89
Herbrand	7743	804	877	743	857	732	903	719	884	703	521	190	88
Tregubje	7733	756	861	736	769	736	827	732	981	748	587	184	86
Jachmien	7692	756	806	774	900	762	777	799	832	745	541	192	90
Pold	7686	828	728	760	813	788	848	774	859	696	592	190	86
Nikitin	7680	905	828	751	751	880	817	657	809	677	605	182	85
Kozakiew	7679	780	804	665	788	829	757	653	1052	740	629	177	76
Ormanov	7676	905	725	751	725	838	837	765	920	650	560	187	84
Brigham	7673	733	767	777	917	699	748	809	1005	738	480	184	87
Hoischen	7663	733	782	712	857	716	848	688	859	856	612	187	83
Wanamake	7662	756	857	685	813	842	848	744	780	773	564	188	88
Novik	7662	828	814	742	822	740	870	741	909	761	435	175	78
Samara	7651	932	909	604	707	779	837	717	957	704	505	183	80
Bogdan	7651	759	871	722	689	810	799	658	909	765	669	186	81
Schoebel	7650	828	806	647	715	819	848	722	909	820	536	188	88
Dzhurov	7649	747	798	835	689	792	789	757	909	726	604	194	93
