	KOK	SDP	KESK	VIHR	PS	VAS	RKP	KD
Uusimaa	26.3	17	5.4	19.7	8.3	8	8.4	3.1
Varsinais-Suomi	23.7	19.3	14	13.2	7.8	11.1	4.9	3
Kanta-Hame	23.2	25.8	16.4	9.4	8.9	10.1	0	5.3
Pirkanmaa	22.5	22.9	11.5	14.8	8.3	9.8	0.2	4.8
Paijat-Hame	23.6	25.7	11.8	9.3	10.2	5	0	5.9
Kymenlaakso	22.1	26.4	14.3	10	10.5	6.4	0.7	5.1
Pohjois-Savo	16.2	19.1	29.7	8	10.1	10.2	0	5.7
Pohjois-Karjala	12.4	26.2	30.3	7.6	11.4	6.5	0	4.7
Pohjanmaa	8.1	15	5.5	3.3	5	4.2	48.1	7
Kainuu	11.9	9.8	39.1	5.9	10.7	18.8	0	3.2
Lappi	13.8	15	36	4.3	6.8	17.9	0.2	1.6
